Test dataset is group 1
Train dataset MSE = 0.00383037,Step = 1
Test dataset MSE = 0.100387,Step = 1
Test dataset Accuracy = 0.04,Step = 1
Test dataset Cost = 0,Step = 1
Test dataset Recall = nan,Step = 1
Test dataset Precision = nan,Step = 1
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00390008,Step = 2
Test dataset MSE = 0.10401,Step = 2
Test dataset Accuracy = 0.04,Step = 2
Test dataset Cost = 0,Step = 2
Test dataset Recall = nan,Step = 2
Test dataset Precision = nan,Step = 2
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00393785,Step = 3
Test dataset MSE = 0.104502,Step = 3
Test dataset Accuracy = 0.04,Step = 3
Test dataset Cost = 0,Step = 3
Test dataset Recall = nan,Step = 3
Test dataset Precision = nan,Step = 3
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00397395,Step = 4
Test dataset MSE = 0.103175,Step = 4
Test dataset Accuracy = 0.04,Step = 4
Test dataset Cost = 0,Step = 4
Test dataset Recall = nan,Step = 4
Test dataset Precision = nan,Step = 4
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00399757,Step = 5
Test dataset MSE = 0.101916,Step = 5
Test dataset Accuracy = 0.04,Step = 5
Test dataset Cost = 0,Step = 5
Test dataset Recall = nan,Step = 5
Test dataset Precision = nan,Step = 5
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00400918,Step = 6
Test dataset MSE = 0.101248,Step = 6
Test dataset Accuracy = 0.04,Step = 6
Test dataset Cost = 0,Step = 6
Test dataset Recall = nan,Step = 6
Test dataset Precision = nan,Step = 6
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00401277,Step = 7
Test dataset MSE = 0.101128,Step = 7
Test dataset Accuracy = 0.04,Step = 7
Test dataset Cost = 0,Step = 7
Test dataset Recall = nan,Step = 7
Test dataset Precision = nan,Step = 7
=========================================================
Test dataset is group 1
Train dataset MSE = 0.0040115,Step = 8
Test dataset MSE = 0.101424,Step = 8
Test dataset Accuracy = 0.04,Step = 8
Test dataset Cost = 0,Step = 8
Test dataset Recall = nan,Step = 8
Test dataset Precision = nan,Step = 8
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00400763,Step = 9
Test dataset MSE = 0.102011,Step = 9
Test dataset Accuracy = 0.04,Step = 9
Test dataset Cost = 0,Step = 9
Test dataset Recall = nan,Step = 9
Test dataset Precision = nan,Step = 9
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00400273,Step = 10
Test dataset MSE = 0.102784,Step = 10
Test dataset Accuracy = 0.04,Step = 10
Test dataset Cost = 0,Step = 10
Test dataset Recall = nan,Step = 10
Test dataset Precision = nan,Step = 10
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00399775,Step = 11
Test dataset MSE = 0.103662,Step = 11
